American,Chinese,French,Indian,Italian,Japanese,Korean,Mediterranean,Mexican,Spanish,Thai,Vietnamese
delicious,delicious,delicious,delicious,delicious,delicious,delicious,delicious,delicious,delicious,delicious,delicious
friendly,authentic,recommend,friendly,friendly,fresh,recommend,friendly,fresh,friendly,fresh,friendly
recommend,fresh,friendly,recommend,recommend,recommend,friendly,fresh,friendly,recommend,friendly,fresh
fresh,friendly,tender,fresh,fresh,friendly,happy,recommend,recommend,happy,recommend,recommend
fun,recommend,delightful,authentic,reasonable,reasonable,fresh,reasonable,authentic,fun,hot,reasonable
happy,reasonable,reasonable,happy,worth,happy,tender,happy,fast,perfection,authentic,happy
attentive,hot,happy,reasonable,perfection,hot,authentic,fast,reasonable,sweet,reasonable,fast
cozy,fast,heaven,hot,authentic,right,generous,authentic,affordable,attentive,right,worth
helpful,happy,helpful,attentive,happy,worth,fast,healthy,hot,fresh,happy,recommended
fast,worth,rich,generous,cozy,fun,free,recommended,worth,heaven,perfection,tender
